con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
1567.9327,0.050392136,2210.3105,2098.9282,530.99567,46.307877,531.82294,235.07727,111.38227,46.35998
1583.0833,0.050637387,2232.3281,2119.289,536.2058,45.933678,537.78046,233.90482,113.03926,45.9846
1598.3016,0.050880957,2254.4504,2139.742,541.4403,45.559364,543.7738,232.73819,114.7086,45.609123
1613.586,0.051122844,2276.6763,2160.2861,546.7,45.184975,549.8021,231.5774,116.39016,45.233604
1628.9373,0.05136304,2299.0046,2180.921,551.98364,44.810665,555.8659,230.42236,118.08387,44.858192
1644.3546,0.051601537,2321.436,2201.6465,557.2918,44.436348,561.9649,229.27316,119.78966,44.48279
1659.8385,0.051838316,2343.9705,2222.4631,562.6246,44.06218,568.0991,228.12962,121.507484,44.10757
1675.387,0.052073408,2366.606,2243.3687,567.9816,43.68828,574.268,226.99182,123.23723,43.732635
1691.0006,0.052306797,2389.3423,2264.3633,573.3628,43.314556,580.4713,225.85965,124.978836,43.357903
1706.68,0.052538484,2412.1804,2285.448,578.7682,42.941177,586.70984,224.73318,126.73231,42.983536
1722.4226,0.052768465,2435.117,2306.6196,584.19696,42.568226,592.9828,223.6123,128.49739,42.609623
1738.2285,0.052996725,2458.152,2327.878,589.6495,42.195614,599.2895,222.49709,130.274,42.236073
1754.0991,0.05322329,2481.2876,2349.225,595.12604,41.82361,605.63104,221.38739,132.06229,41.863148
1770.0319,0.05344814,2504.5193,2370.6575,600.6257,41.45204,612.00616,220.28323,133.8619,41.49068
1786.0284,0.053671263,2527.8506,2392.1777,606.1493,41.081116,618.41547,219.18459,135.67294,41.118877
1802.0875,0.053892683,2551.279,2413.7837,611.6963,40.71085,624.85876,218.09134,137.49527,40.747753
1818.2084,0.054112397,2574.8032,2435.4744,617.266,40.341278,631.33527,217.00356,139.32877,40.37734
1834.3906,0.0543304,2598.4229,2457.2495,622.8588,39.97248,637.8456,215.92122,141.17337,40.00772
1850.6327,0.054546703,2622.136,2479.1072,628.47455,39.604397,644.38824,214.84435,143.02888,39.638836
1866.9364,0.054761283,2645.944,2501.0488,634.1125,39.237274,650.9644,213.7728,144.8953,39.27093
1883.3002,0.054974157,2669.8472,2523.0745,639.77435,38.871075,657.57355,212.70659,146.7726,38.90397
1899.7229,0.055185325,2693.8408,2545.1804,645.4576,38.505737,664.2151,211.6457,148.66049,38.537888
1916.2053,0.05539478,2717.928,2567.3691,651.1638,38.1415,670.889,210.59012,150.55902,38.17291
1932.7461,0.055602536,2742.106,2589.6377,656.89185,37.778233,677.5951,209.53983,152.46805,37.808933
1949.3446,0.05580859,2766.3738,2611.9863,662.64185,37.416058,684.33295,208.49475,154.38742,37.446056
1966.0023,0.05601295,2790.7344,2634.4172,668.41486,37.055054,691.10315,207.45488,156.31726,37.084373
1982.7158,0.056215607,2815.1816,2656.9246,674.2087,36.695213,697.90485,206.42018,158.25714,36.72386
1999.488,0.056416564,2839.7202,2679.513,680.02484,36.336563,704.73846,205.39067,160.20726,36.364563
2016.3158,0.056615837,2864.3457,2702.1782,685.86255,35.979176,711.60254,204.36627,162.16731,36.006542
2033.1987,0.05681341,2889.0571,2724.92,691.7211,35.623085,718.49756,203.347,164.13719,35.649826
2050.1384,0.057009306,2913.8562,2747.7395,697.6011,35.268356,725.42395,202.33278,166.11693,35.294495
2067.1328,0.057203505,2938.742,2770.6355,703.50256,34.91496,732.38086,201.3236,168.10634,34.9405
2084.1816,0.05739604,2963.7117,2793.6064,709.42487,34.562984,739.36816,200.31947,170.10533,34.587944
2101.2842,0.057586893,2988.766,2816.6523,715.36847,34.21248,746.3854,199.32034,172.11375,34.23687
2118.441,0.057776064,3013.9045,2839.7727,721.3319,33.86348,753.43286,198.32623,174.13155,33.887318
2135.6497,0.05796357,3039.1245,2862.9663,727.3166,33.51593,760.50977,197.33708,176.15851,33.539227
2152.9106,0.05814941,3064.4265,2886.232,733.32117,33.170017,767.6161,196.35292,178.19458,33.192783
2170.224,0.05833359,3089.8096,2909.5696,739.34564,32.825634,774.7514,195.3736,180.23967,32.847885
2187.588,0.058516126,3115.2725,2932.9783,745.39056,32.48289,781.9159,194.3992,182.29367,32.504635
2205.0054,0.058697004,3140.8174,2956.4607,751.4555,32.141712,789.10956,193.42953,184.35658,32.16296
2222.4724,0.058876224,3166.4421,2980.0137,757.54126,31.802294,796.33167,192.46478,186.42813,31.823061
2239.9902,0.059053816,3192.1443,3003.636,763.64575,31.46454,803.5828,191.50476,188.50829,31.48483
2257.5552,0.059229773,3217.9214,3027.3247,769.7695,31.128515,810.8603,190.54968,190.59677,31.148346
2275.1697,0.05940409,3243.7756,3051.0825,775.91254,30.79428,818.1661,189.5993,192.69354,30.813658
2292.8335,0.05957677,3269.7065,3074.908,782.07446,30.461794,825.5003,188.65363,194.79854,30.480732
2310.5442,0.059747837,3295.7117,3098.7998,788.25586,30.131207,832.86053,187.7127,196.91164,30.149714
2328.294,0.05991729,3321.7913,3122.7585,794.46466,29.802353,840.2474,186.77649,199.03275,29.820442
2346.0925,0.06008513,3347.9487,3146.7869,800.69415,29.475485,847.6633,185.84499,201.16194,29.493162
2363.945,0.06025137,3374.1875,3170.8882,806.94324,29.150545,855.1115,184.91803,203.29942,29.167822
2381.8467,0.06041601,3400.5012,3195.0564,813.2098,28.827497,862.58923,183.99573,205.4447,28.844383
2399.7964,0.06057907,3426.8896,3219.2917,819.49536,28.506432,870.0948,183.07803,207.59776,28.52293
2417.7952,0.060740527,3453.3535,3243.595,825.7996,28.187325,877.629,182.16487,209.75851,28.203447
2435.839,0.06090039,3479.8877,3267.9607,832.1218,27.87021,885.1898,181.25627,211.9265,27.885967
2453.926,0.0610587,3506.4893,3292.3875,838.4615,27.555094,892.7765,180.35225,214.10167,27.57049
2472.0564,0.06121544,3533.1587,3316.8745,844.8182,27.24195,900.39136,179.45277,216.28387,27.256998
2490.2402,0.06137063,3559.907,3341.4333,851.19305,26.930939,908.03864,178.55772,218.47372,26.945644
2508.4712,0.061524253,3586.7275,3366.0566,857.5854,26.62198,915.7149,177.66719,220.67073,26.636353
