foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
2.201e-04,5.984e-04,1.959e-04,3.650e-04,2.112e-04,1.454e-05,1.355e-04,2.264e-04
1.923e-04,6.535e-04,2.009e-04,3.514e-04,2.106e-04,1.236e-05,1.312e-04,2.193e-04
1.798e-04,6.931e-04,2.055e-04,3.335e-04,2.016e-04,9.493e-06,1.230e-04,2.030e-04
1.727e-04,7.164e-04,2.088e-04,3.154e-04,1.917e-04,8.072e-06,1.131e-04,1.867e-04
1.698e-04,7.331e-04,2.125e-04,2.984e-04,1.825e-04,5.257e-06,1.040e-04,1.716e-04
1.686e-04,7.422e-04,2.162e-04,2.812e-04,1.732e-04,3.761e-06,9.501e-05,1.572e-04
1.674e-04,7.470e-04,2.181e-04,2.640e-04,1.636e-04,1.938e-07,8.744e-05,1.430e-04
1.670e-04,7.477e-04,2.205e-04,2.469e-04,1.557e-04,2.222e-06,7.981e-05,1.282e-04
1.661e-04,7.453e-04,2.221e-04,2.310e-04,1.462e-04,4.875e-06,7.081e-05,1.143e-04
1.655e-04,7.384e-04,2.232e-04,2.141e-04,1.361e-04,6.855e-06,6.342e-05,1.018e-04
1.646e-04,7.288e-04,2.235e-04,1.978e-04,1.277e-04,9.467e-06,5.579e-05,8.726e-05
1.541e-04,7.148e-04,2.552e-04,2.142e-04,1.292e-04,4.968e-06,7.629e-05,8.738e-05
1.472e-04,6.926e-04,2.756e-04,2.468e-04,1.290e-04,6.480e-07,9.650e-05,9.021e-05
1.540e-04,6.669e-04,2.515e-04,2.660e-04,1.205e-04,2.049e-06,8.458e-05,8.810e-05
1.212e-04,6.442e-04,2.261e-04,3.004e-04,1.156e-04,2.004e-06,5.955e-05,8.175e-05
6.425e-05,6.869e-04,2.004e-04,3.349e-04,1.115e-04,1.005e-05,3.648e-05,7.439e-05
9.656e-05,7.913e-04,1.321e-04,3.678e-04,5.144e-05,3.569e-05,6.992e-05,5.633e-05
1.191e-04,7.427e-04,1.206e-04,3.556e-04,4.497e-05,3.314e-05,6.789e-05,4.965e-05
1.287e-04,7.117e-04,1.090e-04,3.426e-04,3.937e-05,2.874e-05,6.425e-05,4.244e-05
1.128e-04,6.859e-04,8.304e-05,3.313e-04,3.287e-05,3.865e-05,1.022e-04,4.989e-05
9.835e-05,6.487e-04,5.471e-05,3.159e-04,2.414e-05,5.413e-05,1.540e-04,6.080e-05
1.199e-04,5.972e-04,5.369e-05,2.887e-04,2.009e-05,5.009e-05,1.419e-04,5.001e-05
1.186e-04,5.636e-04,5.800e-05,2.671e-04,3.454e-05,4.415e-05,1.453e-04,5.054e-05
9.704e-05,5.646e-04,5.969e-05,2.511e-04,5.800e-05,4.002e-05,1.560e-04,5.597e-05
8.905e-05,5.977e-04,5.689e-05,2.320e-04,4.974e-05,3.536e-05,1.374e-04,4.417e-05
8.607e-05,6.177e-04,5.109e-05,2.134e-04,4.363e-05,3.096e-05,1.202e-04,3.207e-05
8.643e-05,6.309e-04,4.736e-05,1.953e-04,3.660e-05,2.830e-05,1.038e-04,2.187e-05
8.678e-05,6.390e-04,4.152e-05,1.771e-04,3.001e-05,2.250e-05,8.667e-05,1.109e-05
4.256e-05,6.442e-04,6.893e-05,2.085e-04,4.813e-05,1.612e-05,3.350e-05,9.006e-05
4.506e-05,6.766e-04,5.092e-05,2.034e-04,4.178e-05,2.111e-05,2.551e-05,8.368e-05
4.613e-05,7.060e-04,3.026e-05,1.967e-04,3.397e-05,2.234e-05,1.770e-05,7.647e-05
4.804e-05,7.334e-04,1.071e-05,1.922e-04,2.778e-05,2.716e-05,1.103e-05,6.944e-05
5.019e-05,7.567e-04,1.070e-05,1.855e-04,1.943e-05,2.816e-05,3.994e-06,6.223e-05
5.209e-05,7.801e-04,3.077e-05,1.808e-04,1.270e-05,3.257e-05,2.563e-06,5.585e-05
5.341e-05,7.992e-04,5.236e-05,1.746e-04,5.335e-06,3.428e-05,9.418e-06,4.905e-05
5.591e-05,8.168e-04,7.275e-05,1.704e-04,1.758e-06,3.797e-05,1.651e-05,4.274e-05
5.817e-05,8.295e-04,9.540e-05,1.647e-04,8.911e-06,4.057e-05,2.277e-05,3.719e-05
6.056e-05,8.407e-04,1.169e-04,1.600e-04,1.597e-05,4.303e-05,2.831e-05,3.129e-05
6.151e-05,8.497e-04,1.382e-04,1.551e-04,2.295e-05,4.540e-05,3.475e-05,2.688e-05
6.390e-05,8.566e-04,1.622e-04,1.503e-04,3.037e-05,4.840e-05,4.250e-05,2.128e-05
6.533e-05,8.605e-04,1.845e-04,1.454e-04,3.585e-05,5.125e-05,4.679e-05,1.669e-05
6.807e-05,8.614e-04,2.074e-04,1.425e-04,4.306e-05,5.360e-05,5.209e-05,1.389e-05
7.677e-05,8.605e-04,2.382e-04,1.301e-04,4.777e-05,4.903e-05,6.878e-05,1.347e-05
7.999e-05,8.667e-04,2.670e-04,1.135e-04,5.001e-05,4.380e-05,8.559e-05,1.526e-05
7.308e-05,8.790e-04,2.851e-04,1.000e-04,5.800e-05,4.578e-05,8.941e-05,6.914e-06
6.974e-05,8.795e-04,3.032e-04,8.726e-05,6.431e-05,4.815e-05,9.263e-05,1.967e-06
6.866e-05,8.740e-04,3.215e-04,7.510e-05,7.135e-05,5.191e-05,9.632e-05,4.590e-06
6.807e-05,8.657e-04,3.412e-04,6.199e-05,7.802e-05,5.323e-05,9.918e-05,7.927e-06
6.676e-05,8.535e-04,3.588e-04,5.066e-05,8.452e-05,5.654e-05,1.018e-04,1.287e-05
