foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
7.224e-05,1.507e-04,1.668e-04,1.304e-04,6.038e-05,1.534e-05,1.078e-04,1.121e-05
7.308e-05,1.495e-04,1.772e-04,1.371e-04,6.342e-05,1.615e-05,1.125e-04,9.239e-06
7.391e-05,1.493e-04,1.870e-04,1.435e-04,6.640e-05,1.639e-05,1.171e-04,6.735e-06
7.534e-05,1.447e-04,1.969e-04,1.507e-04,6.956e-05,1.733e-05,1.212e-04,3.874e-06
7.570e-05,1.428e-04,2.070e-04,1.583e-04,7.230e-05,1.742e-05,1.253e-04,1.431e-06
7.761e-05,1.371e-04,2.170e-04,1.652e-04,7.600e-05,1.825e-05,1.298e-04,1.073e-06
7.856e-05,1.342e-04,2.269e-04,1.732e-04,7.856e-05,1.895e-05,1.342e-04,2.861e-06
8.011e-05,1.261e-04,2.369e-04,1.812e-04,8.178e-05,1.931e-05,1.383e-04,6.020e-06
8.273e-05,1.197e-04,2.465e-04,1.893e-04,8.440e-05,2.004e-05,1.425e-04,8.404e-06
8.345e-05,1.140e-04,2.569e-04,1.980e-04,8.667e-05,2.113e-05,1.469e-04,1.073e-05
8.655e-05,1.035e-04,2.670e-04,2.068e-04,9.060e-05,2.058e-05,1.509e-04,1.353e-05
8.869e-05,9.346e-05,2.775e-04,2.179e-04,9.495e-05,1.848e-05,1.522e-04,1.329e-05
9.191e-05,8.059e-05,2.873e-04,2.270e-04,9.823e-05,1.911e-05,1.575e-04,1.568e-05
9.537e-05,6.461e-05,2.968e-04,2.367e-04,9.990e-05,1.981e-05,1.615e-04,1.842e-05
