con,Omega,ygross,ynet,inv,Eind,scc,carbontax,Dam,Emissions
1946.3585,0.044820484,2731.7278,2609.2905,662.9318,38.335155,564.9724,210.59012,122.437355,38.36657
1963.2883,0.044986498,2756.0828,2632.0962,668.8079,37.9708,570.6339,209.53983,123.98651,38.001495
1980.2775,0.045151092,2780.5283,2654.9844,674.7071,37.6075,576.3222,208.49475,125.54389,37.637505
1997.3291,0.04531427,2805.0679,2677.9583,680.6292,37.245377,582.0376,207.45488,127.10961,37.274696
2014.438,0.045476034,2829.6946,2701.0115,686.57355,36.884388,587.7788,206.42018,128.68329,36.91304
2031.6069,0.045636393,2854.4133,2724.1482,692.5414,36.52457,593.54645,205.39067,130.26514,36.55257
2048.8345,0.045795318,2879.22,2747.3652,698.53094,36.166016,599.34064,204.36627,131.8548,36.19338
2066.1184,0.045952827,2904.1133,2770.6611,704.54266,35.80873,605.15967,203.347,133.45222,35.835476
2083.4614,0.046108928,2929.0952,2794.0376,710.5764,35.4528,611.00525,202.33278,135.05743,35.47893
2100.8618,0.046263617,2954.1638,2817.4937,716.6318,35.098183,616.8762,201.3236,136.67032,35.123722
2118.3262,0.046416916,2979.3184,2841.0273,722.7014,34.74499,622.76654,200.31947,138.29076,34.769947
2135.8516,0.046568785,3004.556,2864.6375,728.78595,34.393223,628.67633,199.32034,139.91853,34.417614
2153.4336,0.046719257,3029.8794,2888.3254,734.89185,34.042965,634.6112,198.32623,141.5537,34.066803
2171.068,0.04686832,3055.2827,2912.087,741.01904,33.694126,640.56903,197.33708,143.19598,33.717422
2188.7573,0.047015987,3080.769,2935.9236,747.1662,33.346912,646.5517,196.35292,144.84538,33.36968
2206.5005,0.047162253,3106.3367,2959.835,753.3345,33.00122,652.5586,195.3736,146.50185,33.023468
2224.2966,0.04730713,3131.985,2983.8198,759.5233,32.657158,658.5887,194.3992,148.16522,32.678898
2242.148,0.04745061,3157.7166,3007.8813,765.7332,32.31465,664.6434,193.42953,149.83559,32.3359
2260.0508,0.0475927,3183.5269,3032.0144,771.96356,31.97389,670.72064,192.46478,151.51265,31.994658
2278.0063,0.0477334,3209.4165,3056.2202,778.2137,31.63479,676.8221,191.50476,153.19637,31.65508
2296.0115,0.047872715,3235.3816,3080.495,784.4836,31.29742,682.94604,190.54968,154.8865,31.31725
2314.068,0.04801064,3261.424,3104.841,790.77295,30.961823,689.0925,189.5993,156.58305,30.981201
2332.1748,0.04814719,3287.5432,3129.2573,797.0826,30.62797,695.2624,188.65363,158.28596,30.646908
2350.3333,0.04828238,3313.738,3153.7432,803.4098,30.296011,701.45526,187.7127,159.99516,30.31452
2368.5444,0.0484162,3340.007,3178.2969,809.75256,29.96578,707.673,186.77649,161.71045,29.98387
2386.8047,0.04854864,3366.3506,3202.919,816.1141,29.637493,713.9132,185.84499,163.43175,29.65517
2405.1155,0.04867971,3392.77,3227.611,822.49536,29.311087,720.1765,184.91803,165.15906,29.328363
2423.4592,0.048809428,3419.26,3252.368,828.90894,28.986526,726.4573,183.99573,166.89214,29.00341
2441.8508,0.048937786,3445.8284,3277.1965,835.34607,28.663973,732.76276,183.07803,168.6312,28.680471
2460.2979,0.0490648,3472.4768,3302.1006,841.8026,28.343416,739.0947,182.16487,170.37639,28.35954
2478.7944,0.049190458,3499.1995,3327.072,848.27783,28.024881,745.4507,181.25627,172.12721,28.040636
2497.34,0.049314793,3525.9937,3352.1099,854.76984,27.708363,751.83,180.35225,173.88364,27.723763
2515.9314,0.04943779,3552.8572,3377.212,861.2804,27.393831,758.2319,179.45277,175.6454,27.408878
2534.5742,0.049559433,3579.7944,3402.382,867.8076,27.08139,764.6598,178.55772,177.41258,27.096094
2553.266,0.04967976,3606.8042,3427.6191,874.3529,26.770994,771.1114,177.66719,179.18517,26.785366
2572.0066,0.049798757,3633.886,3452.9233,880.9165,26.46272,777.587,176.78099,180.96298,26.476767
2590.7935,0.04991644,3661.0347,3478.2886,887.49536,26.1565,784.085,175.89937,182.7458,26.170225
2609.6262,0.05003282,3688.253,3503.7197,894.09326,25.852425,790.60516,175.02199,184.5337,25.865839
2628.5015,0.050147895,3715.5347,3529.2085,900.70703,25.55041,797.14526,174.14911,186.32623,25.563517
2647.421,0.050261658,3742.8818,3554.7583,907.3373,25.250551,803.70654,173.28056,188.12344,25.263361
2666.3816,0.050374135,3770.2913,3580.3662,913.9848,24.952797,810.2874,172.41635,189.92519,24.965315
2685.3843,0.05048531,3797.7644,3606.0332,920.64874,24.657211,816.8877,171.5564,191.73131,24.669447
2704.4248,0.0505952,3825.2952,3631.7534,927.32874,24.363785,823.5065,170.70082,193.54156,24.375742
2723.5088,0.05070382,3852.8896,3657.5332,934.0244,24.07243,830.1456,169.8494,195.35622,24.084112
2742.629,0.05081115,3880.5398,3683.3647,940.736,23.783327,836.8017,169.00229,197.1747,23.794746
2761.789,0.050917223,3908.25,3709.253,947.4637,23.496332,843.4768,168.15935,198.99725,23.50749
2780.987,0.051022027,3936.017,3735.1936,954.20636,23.211573,850.16956,167.32068,200.82356,23.222477
2800.2224,0.05112559,3963.8423,3761.1885,960.9661,22.928963,856.8794,166.4861,202.6538,22.939621
2819.493,0.051227894,3991.7188,3787.2317,967.7386,22.648554,863.6067,165.65575,204.48735,22.65897
2838.7988,0.051328942,4019.6516,3813.327,974.52814,22.370403,870.35065,164.82948,206.32445,22.380579
2858.1372,0.05142876,4047.6335,3839.469,981.3318,22.094416,877.1116,164.00745,208.16478,22.104362
2877.5105,0.051527344,4075.6697,3865.6614,988.1507,21.820656,883.8883,163.18944,210.00844,21.830378
2896.9175,0.05162469,4103.758,3891.9026,994.9848,21.549112,890.6805,162.3755,211.85522,21.55861
2916.355,0.051720813,4131.892,3918.1873,1001.8322,21.279829,897.4878,161.56567,213.7048,21.289112
2935.8247,0.051815715,4160.0767,3944.5193,1008.6948,21.01271,904.31006,160.75981,215.55733,21.021782
2955.326,0.051909413,4188.3086,3970.896,1015.5699,20.74791,911.14746,159.95808,217.41264,20.756777
2974.8591,0.052001905,4216.5903,3997.3198,1022.4608,20.485254,917.99664,159.16025,219.27074,20.49392
2994.4182,0.05209319,4244.915,4023.7842,1029.3656,20.224915,924.8563,158.36641,221.13118,20.233383
3014.007,0.05218328,4273.2856,4050.292,1036.2845,19.966782,931.72906,157.57652,222.99408,19.975056
3033.622,0.052272197,4301.6973,4076.8384,1043.2166,19.710897,938.6138,156.79065,224.85918,19.718985
3053.265,0.05235994,4330.1533,4103.4263,1050.1616,19.457222,945.5114,156.0086,226.72655,19.465124
3072.936,0.0524465,4358.6523,4130.056,1057.12,19.20579,952.42194,155.23045,228.59605,19.213512
3092.633,0.05253189,4387.1914,4156.7236,1064.0905,18.956594,959.3446,154.45619,230.46745,18.964142
3112.343,0.052616134,4415.7715,4183.4307,1071.0875,18.709705,966.25977,153.6858,232.34082,18.717081
