foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
3.582e-05,1.926e-04,1.697e-03,6.658e-05,2.341e-04,1.073e-06,6.340e-06,4.083e-05,8.687e-05
2.204e-04,1.788e-04,1.560e-03,5.472e-05,2.542e-04,1.281e-04,4.388e-06,5.525e-05,1.192e-06
2.494e-04,2.320e-04,0.000e+00,5.160e-05,1.562e-05,6.762e-05,1.386e-05,1.572e-04,4.649e-05
2.050e-04,3.314e-04,0.000e+00,6.560e-05,1.001e-04,8.288e-05,2.001e-05,6.813e-05,2.319e-05
2.227e-04,3.502e-04,0.000e+00,6.136e-05,1.587e-04,1.172e-04,2.422e-05,2.915e-05,2.468e-05
2.241e-04,3.273e-04,0.000e+00,6.279e-05,1.602e-04,1.156e-04,2.374e-05,3.129e-05,2.614e-05
2.271e-04,3.080e-04,0.000e+00,6.429e-05,1.621e-04,1.134e-04,2.274e-05,3.278e-05,2.572e-05
2.297e-04,2.902e-04,0.000e+00,6.537e-05,1.638e-04,1.117e-04,2.220e-05,3.535e-05,2.462e-05
2.320e-04,2.747e-04,0.000e+00,6.659e-05,1.656e-04,1.093e-04,2.094e-05,3.636e-05,2.396e-05
2.348e-04,2.596e-04,0.000e+00,6.673e-05,1.664e-04,1.070e-04,2.061e-05,3.839e-05,2.253e-05
2.366e-04,2.494e-04,0.000e+00,6.686e-05,1.680e-04,1.050e-04,1.983e-05,4.059e-05,2.119e-05
2.385e-04,2.403e-04,0.000e+00,6.674e-05,1.698e-04,1.031e-04,1.932e-05,4.172e-05,2.000e-05
2.406e-04,2.325e-04,0.000e+00,6.748e-05,1.702e-04,1.014e-04,1.937e-05,4.369e-05,1.937e-05
2.403e-04,2.260e-04,0.000e+00,6.633e-05,1.716e-04,9.927e-05,1.733e-05,4.572e-05,1.729e-05
2.407e-04,2.196e-04,0.000e+00,6.631e-05,1.727e-04,9.710e-05,1.696e-05,4.721e-05,1.591e-05
2.409e-04,2.155e-04,0.000e+00,6.592e-05,1.737e-04,9.534e-05,1.740e-05,4.858e-05,1.511e-05
2.407e-04,2.136e-04,0.000e+00,6.519e-05,1.755e-04,9.328e-05,1.637e-05,4.995e-05,1.356e-05
2.398e-04,2.089e-04,0.000e+00,6.463e-05,1.760e-04,9.111e-05,1.524e-05,5.198e-05,1.228e-05
2.381e-04,2.093e-04,0.000e+00,6.320e-05,1.780e-04,8.982e-05,1.508e-05,5.257e-05,1.115e-05
2.370e-04,2.079e-04,0.000e+00,6.294e-05,1.795e-04,8.738e-05,1.411e-05,5.436e-05,9.954e-06
2.358e-04,2.081e-04,0.000e+00,6.150e-05,1.822e-04,8.506e-05,1.393e-05,5.513e-05,8.136e-06
2.344e-04,2.108e-04,0.000e+00,6.071e-05,1.844e-04,8.273e-05,1.339e-05,5.609e-05,7.480e-06
2.322e-04,2.108e-04,0.000e+00,5.919e-05,1.862e-04,8.100e-05,1.297e-05,5.776e-05,5.871e-06
2.304e-04,2.131e-04,0.000e+00,5.826e-05,1.889e-04,7.892e-05,1.226e-05,5.716e-05,4.500e-06
2.273e-04,2.160e-04,0.000e+00,5.659e-05,1.920e-04,7.629e-05,1.148e-05,5.823e-05,2.712e-06
2.257e-04,2.179e-04,0.000e+00,5.505e-05,1.945e-04,7.427e-05,1.101e-05,5.919e-05,2.295e-06
2.230e-04,2.217e-04,0.000e+00,5.410e-05,1.977e-04,7.230e-05,1.061e-05,5.925e-05,6.258e-07
2.210e-04,2.270e-04,0.000e+00,5.268e-05,2.016e-04,6.950e-05,1.019e-05,5.955e-05,1.132e-06
2.187e-04,2.315e-04,0.000e+00,5.052e-05,2.052e-04,6.676e-05,9.876e-06,5.907e-05,1.878e-06
2.157e-04,2.348e-04,0.000e+00,4.959e-05,2.092e-04,6.521e-05,8.771e-06,5.966e-05,3.666e-06
2.134e-04,2.389e-04,0.000e+00,4.744e-05,2.126e-04,6.247e-05,9.048e-06,6.008e-05,5.484e-06
2.090e-04,2.422e-04,0.000e+00,4.642e-05,2.164e-04,6.032e-05,8.906e-06,5.955e-05,6.407e-06
2.073e-04,2.489e-04,0.000e+00,4.490e-05,2.209e-04,5.800e-05,7.706e-06,5.949e-05,7.719e-06
2.044e-04,2.542e-04,0.000e+00,4.255e-05,2.251e-04,5.513e-05,7.473e-06,5.883e-05,9.567e-06
2.009e-04,2.582e-04,0.000e+00,4.115e-05,2.300e-04,5.352e-05,7.292e-06,5.865e-05,9.984e-06
1.982e-04,2.651e-04,0.000e+00,3.929e-05,2.344e-04,4.965e-05,6.661e-06,5.823e-05,1.290e-05
1.947e-04,2.697e-04,0.000e+00,3.760e-05,2.389e-04,4.864e-05,5.984e-06,5.728e-05,1.374e-05
1.923e-04,2.754e-04,0.000e+00,3.611e-05,2.438e-04,4.530e-05,6.130e-06,5.710e-05,1.574e-05
1.894e-04,2.809e-04,0.000e+00,3.404e-05,2.484e-04,4.369e-05,5.529e-06,5.740e-05,1.636e-05
1.852e-04,2.851e-04,0.000e+00,3.225e-05,2.541e-04,4.071e-05,5.499e-06,5.549e-05,1.851e-05
1.822e-04,2.904e-04,0.000e+00,3.051e-05,2.586e-04,3.862e-05,4.780e-06,5.555e-05,1.964e-05
1.800e-04,2.956e-04,0.000e+00,2.912e-05,2.642e-04,3.594e-05,5.351e-06,5.406e-05,2.095e-05
